date,partc,partc-m,partc-w,unemp
2006-01-01,60.52153370888607,73.36466165413535,48.50510024621879,4.4
2006-02-01,60.45962394404578,73.25187969924812,48.49657112713206,4.1
2006-03-01,60.333877699147166,73.31581910302121,48.19044272663387,4.1
2006-04-01,60.20890099909173,73.14919203307028,48.10972393177423,4.1
2006-05-01,60.370336752291905,73.17806160781367,48.38369641602249,4.1
2006-06-01,60.46258503401361,73.30206378986867,48.4375,4.2
2006-07-01,60.43537414965986,73.24577861163228,48.46356453028973,4.1
2006-08-01,60.509843055429556,73.25952336273221,48.577949438202246,4.1
2006-09-01,60.57857984946041,73.32082551594746,48.66619866619867,4.1
2006-10-01,60.69809610154125,73.40086287750891,48.83312861905598,4.1
2006-11-01,60.568995197970466,73.18582411400712,48.77279102384291,4
2006-12-01,60.42780748663101,73.19452260363909,48.49122807017544,4
2007-01-01,60.193823023276884,73.10861423220973,48.08771929824561,4
2007-02-01,60.46701058919359,73.4006734006734,48.34297738032615,4
2007-03-01,60.58466829577337,73.42814371257485,48.55390008764242,4
2007-04-01,60.546309696092614,73.33083972320928,48.589945699772294,3.8
2007-05-01,60.52107834268138,73.27473349541799,48.57192920974242,3.8
2007-06-01,60.5244122965642,73.37322363500374,48.50288916126773,3.7
2007-07-01,60.40499005604774,73.30841121495327,48.32837388412393,3.6
2007-08-01,60.337972166998014,73.09417040358744,48.39838963766848,3.7
2007-09-01,60.28561099060015,73.15022421524664,48.24085419219325,3.9
2007-10-01,60.41384295653746,73.19260227909584,48.45992299614981,4
2007-11-01,60.561980484279,73.1228987672768,48.792439621981096,3.8
2007-12-01,60.5092091007584,72.98356982823002,48.837615801433316,3.7
2008-01-01,60.332219915139476,73.00224047796864,48.47902097902098,3.9
2008-02-01,60.21670428893905,73.05825242718447,48.18181818181818,4
2008-03-01,60.24379232505643,72.82405677997758,48.50498338870432,3.8
2008-04-01,60.40086673889491,72.97852474323062,48.645341723474914,3.9
2008-05-01,60.42606968766926,73.1939518387157,48.47955260398462,4
2008-06-01,60.37548515208954,72.84941220376936,48.69778010837266,4
2008-07-01,60.160620826565605,72.63904441955954,48.46315054139015,3.9
2008-08-01,60.20030677614364,72.98003358835604,48.25358016067062,4.1
2008-09-01,60.01262854050153,72.68656716417911,48.157848786450145,4
2008-10-01,59.9783471670877,72.70522388059702,48.05308189278855,3.8
2008-11-01,60.22009742016958,72.79850746268657,48.45468831849136,4
2008-12-01,60.254329004329,72.74762171236709,48.559455212152955,4.4
2009-01-01,60.22368539731217,72.53218884120172,48.70810055865922,4.3
2009-02-01,60.20739404869252,72.46782316731954,48.726003490401396,4.6
2009-03-01,59.987374876003244,72.36105930622901,48.420317681968925,4.8
2009-04-01,60.03244997295836,72.40865026099925,48.455766881870524,5
2009-05-01,59.95493465525011,72.31543624161074,48.4034199965102,5.1
2009-06-01,59.798089057148005,71.96122296793438,48.438317920083755,5.2
2009-07-01,59.88466390340602,72.06787245944433,48.51813110181311,5.5
2009-08-01,60.04864426628232,72.08651873951146,48.797490414778665,5.4
2009-09-01,59.97657868660481,71.96122296793438,48.77113473941084,5.4
2009-10-01,59.724349157733535,71.92393736017897,48.326943185779015,5.2
2009-11-01,59.71359092137261,71.84936614466815,48.362369337979096,5.2
2009-12-01,59.693693693693696,71.78817825843744,48.379226211223425,5.2
2010-01-01,59.8576320057668,72.02014549524343,48.50121993726037,5
2010-02-01,59.65576281877985,71.69776119402985,48.405089768171514,5
2010-03-01,59.821589475581185,72.03879873157993,48.40620101027696,5.1
2010-04-01,59.69907198846743,71.83361313187838,48.371363873889564,5.1
2010-05-01,59.63253174817616,71.64429530201343,48.43260188087774,5.1
2010-06-01,59.652440122456326,71.91870221890733,48.20744865993735,5.2
2010-07-01,59.722597496172206,71.86276337870595,48.397770811563916,5
2010-08-01,59.73722102231821,71.7585692995529,48.51174934725849,5.1
2010-09-01,59.92978033849477,71.89189189189189,48.763927576601674,5.1
2010-10-01,59.79836168872086,71.64958061509785,48.72955099199443,5.1
2010-11-01,59.555315509946894,71.52713033749767,48.38148277062304,5
2010-12-01,59.61849919021055,71.65486395825569,48.39158407233525,4.9
2011-01-01,59.71210076473235,71.68685927306618,48.53069031472788,4.8
2011-02-01,59.690619660041364,71.64151294950624,48.52173913043478,4.7
2011-03-01,59.38287153652393,71.43922445935868,48.139777468706534,4.7
2011-04-01,59.33621154883972,71.48983777736342,48.009734051799065,4.7
2011-05-01,59.266253034799036,71.37796009696066,47.95829713292789,4.6
2011-06-01,59.2965728164073,71.24743613649078,48.16617416999826,4.7
2011-07-01,59.31288784962676,71.31407269338304,48.09664522857639,4.7
2011-08-01,59.18183456478645,71.1218965839089,48.014629049111804,4.5
2011-09-01,59.13920403385558,70.95691102406268,48.09399477806788,4.2
2011-10-01,59.18991899189919,70.94909565541676,48.208072372999304,4.4
2011-11-01,59.297929792979296,71.18612458038045,48.199060379328344,4.5
2011-12-01,59.368250539956804,71.3699906803355,48.1642596137115,4.5
2012-01-01,59.15226781857451,71.07176141658901,48.01601113818308,4.5
2012-02-01,59.22959229592296,71.0555762775084,48.19067501739735,4.5
2012-03-01,59.10359103591036,70.8985831469053,48.12108559498956,4.5
2012-04-01,59.14491449144914,70.84265473527218,48.24225548207448,4.5
2012-05-01,59.04710438620193,70.67164179104478,48.19843342036553,4.4
2012-06-01,59.13184438040345,70.87143123717111,48.17200557103064,4.3
2012-07-01,59.1301998919503,70.75172542436113,48.2944657152802,4.3
2012-08-01,59.058590585905854,70.64528161133904,48.25186989041572,4.2
2012-09-01,59.02421460077415,70.74626865671641,48.086290883785665,4.2
2012-10-01,59.16621645957141,70.8955223880597,48.21646076213676,4.1
2012-11-01,59.099504727600184,70.69029850746269,48.277062304211626,4.1
2012-12-01,58.921012339007476,70.4180664427025,48.1810269799826,4.3
2013-01-01,59.23790649491036,70.61239731142643,48.58983286908078,4.2
2013-02-01,59.351351351351354,70.65521747246594,48.79874651810585,4.3
2013-03-01,59.2919556796685,70.54871220604704,48.78091257401602,4.1
2013-04-01,59.434387102584886,70.62884866579586,48.99878112484764,4.1
2013-05-01,59.35867411277247,70.63432835820895,48.85057471264368,4.1
2013-06-01,59.17852639164115,70.63432835820895,48.484848484848484,3.9
